Benchmark,Optimizer,Avg Convergence Value,Min Error,Max Error,Avg Error,Min Convergence Time,Max Convergence Time,Avg Convergence Time,Avg Runtime
Michalewicz,PSO,-4.687658179088149,1.790881496432917e-07,1.790881505314701e-07,1.790881497321095e-07,1371,2234,1799.9,9.32184569835663
Michalewicz,GA,-4.598421998306815,9.264506246609016e-07,0.1917680927812304,0.0892360016931842,1481,5000,3550.2,34.971397161483765
Michalewicz,ABC,-3.085651794817188,0.9318841328699236,1.954051585487762,1.602006205182812,250,5000,2700.1,51.86356678009033
Michalewicz,CSO,-3.9965311719596897,0.428300803133177,0.973389000205652,0.6911268280403097,191,5000,2917.8,11.218465304374694
Rastrigin,PSO,231.4408616878987,178.9065244642615,260.66717483229274,231.4408616878987,1612,5000,3422.8,7.666778993606568
Rastrigin,GA,70.77618385581329,57.20876287221114,90.50373658818648,70.77618385581329,3054,5000,4544.3,39.01937127113342
Rastrigin,ABC,3.934632718483044e-06,7.711651051067747e-08,1.0819683552654167e-05,3.934632718483044e-06,73,5000,2106.4,30.682507824897765
Rastrigin,CSO,274.66231409563454,246.3991176237169,291.24054603557505,274.66231409563454,2624,5000,3373.2,7.032456517219544
Rosenbrock,PSO,0.0,0.0,0.0,0.0,0,3929,2188.6,3.9724239349365233
Rosenbrock,GA,41.84095494721247,0.0002069713842357,79.69631895117313,41.84095494721247,1992,5000,4208.7,18.070384335517883
Rosenbrock,ABC,0.6369766186759542,0.0043550937140083,1.8882443974275245,0.6369766186759542,208,5000,2518.0,20.10798759460449
Rosenbrock,CSO,0.0001894576425412,5.7410642961826856e-06,0.0007270657105222,0.0001894576425412,598,5000,2799.3,3.8188682317733766
Schwefel,PSO,4114.7693046137,2983.538676599939,5363.100748744348,4114.7693046137,2245,5000,4724.5,3.0129374980926515
Schwefel,GA,3852.627900644088,3099.703038365284,4938.307046622424,3852.627900644088,1772,5000,3366.2,17.24988408088684
Schwefel,ABC,0.0109821344356532,0.0013857813828508,0.027377315915146,0.0109821344356532,574,3953,2609.0,14.737312960624696
Schwefel,CSO,3349.9159557022404,2978.929421517804,3811.379363638027,3349.9159557022404,5000,5000,5000.0,3.47828848361969
Sphere,PSO,3484.750173261676,107.96603365222384,10363.660568881982,3484.750173261676,3536,5000,4708.5,2.146275520324707
Sphere,GA,0.0494964376990116,0.0385408466014559,0.0570895825010393,0.0494964376990116,1526,5000,2994.6,16.489098978042602
Sphere,ABC,0.0005859428469133,6.351234848999777e-06,0.002111991508753,0.0005859428469133,628,5000,3241.5,12.278688263893129
Sphere,CSO,20.163654658256142,13.781266465133768,24.09755707994308,20.163654658256142,3085,5000,4590.8,2.671508765220642
